"D_:0","D_:1","D_:2","F_D_:0","F_D_:1","F_D_:2","PedigreeNodeId","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0,0,0,-0.03917,-0.026974,0,4,1,91,-10,0.2,0
0,0,0,-0.048568,-0.019305,0,4,1,92,-10,0.2,0
0,0,0,-0.00619,-0.0050381,0,4,1,93,-10,0.2,0
0,0,0,-0.01752,-0.010281,0,4,1,94,-10,0.2,0
0,0,0,0.0029401,-0.030023,0,4,1,95,-10,0.2,0
0,0,0,0.011516,-0.014877,0,4,1,96,-10,0.2,0
0,0,0,0.052539,0.01432,0,4,1,97,-10,0.2,0
0,0,0,0.063768,0.017291,0,4,1,98,-10,0.2,0
0,0,0,0.068095,-0.0053785,0,4,1,99,-10,0.2,0
0,0,0,0.069738,-0.010875,0,4,1,100,-10,0.2,0
0,0,0,0.051354,0.00037809,0,4,1,101,-10,0.2,0
0,0,0,0.060553,-0.025576,0,4,1,102,-10,0.2,0
0,0,0,0.07932,0.0089114,0,4,1,103,-10,0.2,0
0,0,0,0.055708,-0.029679,0,4,1,104,-10,0.2,0
0,0,0,0.071186,-0.019683,0,4,1,105,-10,0.2,0
0,0,0,0.088399,0.0040993,0,4,1,106,-10,0.2,0
0,0,0,0.084904,0.011218,0,4,1,107,-10,0.2,0
0,0,0,0.073487,-0.016905,0,4,1,108,-10,0.2,0
0,0,0,0.071674,-0.029844,0,4,1,109,-10,0.2,0
0,0,0,0.10881,0.016425,0,4,1,110,-10,0.2,0
0,0,0,0.091137,-0.0054372,0,4,1,111,-10,0.2,0
0,0,0,0.062832,-0.018703,0,4,1,112,-10,0.2,0
0,0,0,0.079485,0.010564,0,4,1,113,-10,0.2,0
0,0,0,0.051048,-0.027167,0,4,1,114,-10,0.2,0
0,0,0,0.042701,0.0023368,0,4,1,115,-10,0.2,0
0,0,0,0.0099311,-0.031713,0,4,1,116,-10,0.2,0
0,0,0,0.0037166,-0.011863,0,4,1,117,-10,0.2,0
0,0,0,0.014379,-0.0052603,0,4,1,118,-10,0.2,0
0,0,0,0.0025999,-0.030883,0,4,1,119,-10,0.2,0
0,0,0,0.020686,-0.033681,0,4,1,120,-10,0.2,0
0,0,0,0.077564,0.00072752,0,4,1,121,-10,0.2,0
0,0,0,0.075044,-0.017979,0,4,1,122,-10,0.2,0
0,0,0,0.11144,-0.0057721,0,4,1,123,-10,0.2,0
0,0,0,0.10153,-0.022455,0,4,1,124,-10,0.2,0
0,0,0,0.11351,0.0016653,0,4,1,125,-10,0.2,0
0,0,0,0.12541,0.015471,0,4,1,126,-10,0.2,0
0,0,0,0.095647,-0.011167,0,4,1,127,-10,0.2,0
0,0,0,0.076659,-0.026478,0,4,1,128,-10,0.2,0
0,0,0,0.071236,-0.0035736,0,4,1,129,-10,0.2,0
0,0,0,0.05918,-0.017565,0,4,1,130,-10,0.2,0
0,0,0,0.072382,0.001524,0,4,1,131,-10,0.2,0
0,0,0,0.053864,-0.017333,0,4,1,132,-10,0.2,0
0,0,0,0.076958,0.004337,0,4,1,133,-10,0.2,0
0,0,0,0.084462,-0.010644,0,4,1,134,-10,0.2,0
0,0,0,0.08324,-0.023617,0,4,1,135,-10,0.2,0
0,0,0,0.10892,-0.0081091,0,4,1,136,-10,0.2,0
0,0,0,0.11427,0.00050144,0,4,1,137,-10,0.2,0
0,0,0,0.11184,0.013808,0,4,1,138,-10,0.2,0
0,0,0,0.076838,0.0042217,0,4,1,139,-10,0.2,0
0,0,0,0.029397,-0.013653,0,4,1,140,-10,0.2,0
0,0,0,-0.010326,-0.017551,0,4,1,141,-10,0.2,0
0,0,0,-0.025158,-0.030565,0,4,1,142,-10,0.2,0
0,0,0,0.0016197,-0.020122,0,4,1,143,-10,0.2,0
0,0,0,-0.01156,-0.027493,0,4,1,144,-10,0.2,0
0,0,0,0.043663,-0.0039995,0,4,1,145,-10,0.2,0
0,0,0,0.020825,-0.026441,0,4,1,146,-10,0.2,0
0,0,0,0.064963,-0.010452,0,4,1,147,-10,0.2,0
0,0,0,0.084662,0.0011996,0,4,1,148,-10,0.2,0
0,0,0,0.036565,-0.031967,0,4,1,149,-10,0.2,0
0,0,0,0.071231,-0.012496,0,4,1,150,-10,0.2,0
0,0,0,0.054713,0.00063927,0,4,1,151,-10,0.2,0
0,0,0,0.021204,-0.01693,0,4,1,152,-10,0.2,0
0,0,0,0.078641,0.0025252,0,4,1,153,-10,0.2,0
0,0,0,0.044243,-0.0066264,0,4,1,154,-10,0.2,0
0,0,0,0.017625,-0.01103,0,4,1,155,-10,0.2,0
0,0,0,0.035884,-0.0086264,0,4,1,156,-10,0.2,0
0,0,0,0.051949,0.0069977,0,4,1,157,-10,0.2,0
0,0,0,0.055578,0.014477,0,4,1,158,-10,0.2,0
0,0,0,0.012751,-0.012551,0,4,1,159,-10,0.2,0
0,0,0,0.015522,0.0017124,0,4,1,160,-10,0.2,0
0,0,0,-0.01605,-0.014155,0,4,1,161,-10,0.2,0
0,0,0,-0.032886,-0.013242,0,4,1,162,-10,0.2,0
0,0,0,-0.067196,-0.021616,0,4,1,163,-10,0.2,0
0,0,0,-0.079453,-0.025213,0,4,1,164,-10,0.2,0
0,0,0,-0.059658,-0.00025087,0,4,1,165,-10,0.2,0
0,0,0,-0.092179,-0.027185,0,4,1,166,-10,0.2,0
0,0,0,-0.079156,-0.013365,0,4,1,167,-10,0.2,0
0,0,0,-0.077391,-0.01508,0,4,1,168,-10,0.2,0
0,0,0,-0.07165,-0.025183,0,4,1,169,-10,0.2,0
0,0,0,-0.073887,-0.022083,0,4,1,170,-10,0.2,0
0,0,0,-0.064328,-0.0192,0,4,1,171,-10,0.2,0
0,0,0,-0.05336,-0.010108,0,4,1,172,-10,0.2,0
0,0,0,-0.065988,-0.017491,0,4,1,173,-10,0.2,0
0,0,0,-0.07625,-0.020675,0,4,1,174,-10,0.2,0
0,0,0,-0.089004,-0.025649,0,4,1,175,-10,0.2,0
0,0,0,-0.086002,-0.023831,0,4,1,176,-10,0.2,0
0,0,0,-0.084339,-0.019533,0,4,1,177,-10,0.2,0
0,0,0,-0.11761,-0.045779,0,4,1,178,-10,0.2,0
0,0,0,-0.12968,-0.054232,0,4,1,179,-10,0.2,0
0,0,0,-0.13623,-0.058264,0,4,1,180,-10,0.2,0
0,0,0,-0.12894,-0.054436,0,4,1,181,-10,0.2,0
0,0,0,-0.11863,-0.037675,0,4,1,182,-10,0.2,0
0,0,0,-0.126,-0.046624,0,4,1,183,-10,0.2,0
0,0,0,-0.12782,-0.047706,0,4,1,184,-10,0.2,0
0,0,0,-0.12952,-0.041499,0,4,1,185,-10,0.2,0
0,0,0,-0.11922,-0.052249,0,4,1,186,-10,0.2,0
0,0,0,-0.090391,-0.034439,0,4,1,187,-10,0.2,0
0,0,0,-0.063721,-0.024321,0,4,1,188,-10,0.2,0
0,0,0,-0.025455,-0.0059737,0,4,1,189,-10,0.2,0
0,0,0,-0.02584,-0.018345,0,4,1,190,-10,0.2,0
0,0,0,-0.037887,-0.022219,0,4,1,191,-10,0.2,0
0,0,0,-0.037161,-0.025132,0,4,1,192,-10,0.2,0
0,0,0,-0.0062473,-0.001194,0,4,1,193,-10,0.2,0
0,0,0,-0.017016,-0.0064646,0,4,1,194,-10,0.2,0
0,0,0,-0.019164,-0.00031216,0,4,1,195,-10,0.2,0
0,0,0,-0.030145,-0.0028366,0,4,1,196,-10,0.2,0
0,0,0,-0.041501,-0.01068,0,4,1,197,-10,0.2,0
0,0,0,-0.052646,-0.022921,0,4,1,198,-10,0.2,0
0,0,0,-0.023128,-0.0065111,0,4,1,199,-10,0.2,0
0,0,0,-0.022254,-0.0079628,0,4,1,200,-10,0.2,0
0,0,0,-0.026928,-0.016855,0,4,1,201,-10,0.2,0
0,0,0,0.014114,0.0097528,0,4,1,202,-10,0.2,0
0,0,0,0.01084,-0.0072417,0,4,1,203,-10,0.2,0
0,0,0,0.020712,-0.0032846,0,4,1,204,-10,0.2,0
0,0,0,0.035315,-0.0014752,0,4,1,205,-10,0.2,0
0,0,0,0.044372,-0.0035522,0,4,1,206,-10,0.2,0
0,0,0,0.032715,-0.006624,0,4,1,207,-10,0.2,0
0,0,0,0.035249,-0.00042245,0,4,1,208,-10,0.2,0
0,0,0,0.028355,-0.0084754,0,4,1,209,-10,0.2,0
0,0,0,-0.0032399,-0.020111,0,4,1,210,-10,0.2,0
0,0,0,0.042129,-0.0078784,0,4,1,211,-10,0.2,0
0,0,0,0.04815,-0.011119,0,4,1,212,-10,0.2,0
0,0,0,0.094113,-0.0035421,0,4,1,213,-10,0.2,0
0,0,0,0.090693,-0.016536,0,4,1,214,-10,0.2,0
0,0,0,0.12882,-0.0042941,0,4,1,215,-10,0.2,0
0,0,0,0.077766,-0.036184,0,4,1,216,-10,0.2,0
0,0,0,0.11383,-0.008387,0,4,1,217,-10,0.2,0
0,0,0,0.062786,-0.023222,0,4,1,218,-10,0.2,0
0,0,0,0.051689,-0.013985,0,4,1,219,-10,0.2,0
0,0,0,0.02182,-0.016946,0,4,1,220,-10,0.2,0
0,0,0,0.024689,-0.020904,0,4,1,221,-10,0.2,0
0,0,0,0.018734,-0.016996,0,4,1,222,-10,0.2,0
0,0,0,0.030543,-0.0085218,0,4,1,223,-10,0.2,0
0,0,0,0.017172,-0.016546,0,4,1,224,-10,0.2,0
0,0,0,0.013699,-0.025258,0,4,1,225,-10,0.2,0
0,0,0,0.02294,-0.0076458,0,4,1,226,-10,0.2,0
0,0,0,0.022094,-0.011658,0,4,1,227,-10,0.2,0
