"D_:0","D_:1","D_:2","F_D_:0","F_D_:1","F_D_:2","PedigreeNodeId","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0,0,0,0.019857,0.0060758,0,12,1,1,-10,1,0
0,0,0,0.024249,0.0015889,0,12,1,2,-10,1,0
0,0,0,0.024682,0.0011324,0,12,1,3,-10,1,0
0,0,0,0.027368,-0.0015352,0,12,1,4,-10,1,0
0,0,0,0.032271,-0.0063436,0,12,1,5,-10,1,0
0,0,0,0.031886,-0.0059658,0,12,1,6,-10,1,0
0,0,0,0.029646,-0.003727,0,12,1,7,-10,1,0
0,0,0,0.031888,-0.0059645,0,12,1,8,-10,1,0
0,0,0,0.030784,-0.0048763,0,12,1,9,-10,1,0
0,0,0,0.02661,-0.00076159,0,12,1,10,-10,1,0
0,0,0,0.021915,0.0038885,0,12,1,11,-10,1,0
0,0,0,0.018628,0.0071297,0,12,1,12,-10,1,0
0,0,0,0.020304,0.0054088,0,12,1,13,-10,1,0
0,0,0,0.017976,0.0076394,0,12,1,14,-10,1,0
0,0,0,0.015852,0.0096582,0,12,1,15,-10,1,0
0,0,0,0.020278,0.0051572,0,12,1,16,-10,1,0
0,0,0,0.021492,0.0038066,0,12,1,17,-10,1,0
0,0,0,0.022855,0.0023342,0,12,1,18,-10,1,0
0,0,0,0.023184,0.0018117,0,12,1,19,-10,1,0
0,0,0,0.028174,-0.0036143,0,12,1,20,-10,1,0
0,0,0,0.028292,-0.0043326,0,12,1,21,-10,1,0
0,0,0,0.027343,-0.0038901,0,12,1,22,-10,1,0
0,0,0,0.024251,-0.0012038,0,12,1,23,-10,1,0
0,0,0,0.025645,-0.0031931,0,12,1,24,-10,1,0
0,0,0,0.02102,0.00086147,0,12,1,25,-10,1,0
0,0,0,0.01618,0.0050952,0,12,1,26,-10,1,0
0,0,0,0.011588,0.0089881,0,12,1,27,-10,1,0
0,0,0,0.0091933,0.010535,0,12,1,28,-10,1,0
0,0,0,0.0042372,0.014685,0,12,1,29,-10,1,0
0,0,0,0.0042043,0.013585,0,12,1,30,-10,1,0
0,0,0,0.0023688,0.01427,0,12,1,31,-10,1,0
0,0,0,0.001839,0.013436,0,12,1,32,-10,1,0
0,0,0,-0.0007866,0.014784,0,12,1,33,-10,1,0
0,0,0,-0.0098004,0.02336,0,12,1,34,-10,1,0
0,0,0,-0.009929,0.021945,0,12,1,35,-10,1,0
0,0,0,-0.0091178,0.019386,0,12,1,36,-10,1,0
0,0,0,-0.01122,0.020241,0,12,1,37,-10,1,0
0,0,0,-0.017623,0.026497,0,12,1,38,-10,1,0
0,0,0,-0.02282,0.031632,0,12,1,39,-10,1,0
0,0,0,-0.017407,0.023712,0,12,1,40,-10,1,0
0,0,0,-0.013931,0.018468,0,12,1,41,-10,1,0
0,0,0,-0.016222,0.021019,0,12,1,42,-10,1,0
0,0,0,-0.020588,0.026478,0,12,1,43,-10,1,0
0,0,0,-0.015969,0.020771,0,12,1,44,-10,1,0
0,0,0,-0.027058,0.035204,0,12,1,45,-10,1,0
0,0,0,-0.020969,0.027802,0,12,1,46,-10,1,0
0,0,0,-0.013456,0.018555,0,12,1,47,-10,1,0
0,0,0,-0.027341,0.036796,0,12,1,48,-10,1,0
0,0,0,-0.017754,0.024691,0,12,1,49,-10,1,0
0,0,0,-0.020819,0.028955,0,12,1,50,-10,1,0
0,0,0,-0.02466,0.034471,0,12,1,51,-10,1,0
0,0,0,-0.021732,0.031537,0,12,1,52,-10,1,0
0,0,0,-0.016194,0.026172,0,12,1,53,-10,1,0
0,0,0,-0.010102,0.021726,0,12,1,54,-10,1,0
0,0,0,-0.0064771,0.022249,0,12,1,55,-10,1,0
0,0,0,-0.0014092,0.022355,0,12,1,56,-10,1,0
0,0,0,0.011339,0.014718,0,12,1,57,-10,1,0
0,0,0,0.031885,-0.00073766,0,12,1,58,-10,1,0
0,0,0,0.026755,0.0084658,0,12,1,59,-10,1,0
0,0,0,0.037266,0.00017461,0,12,1,60,-10,1,0
0,0,0,0.035362,0.0029258,0,12,1,61,-10,1,0
0,0,0,0.032212,0.0064794,0,12,1,62,-10,1,0
0,0,0,0.031021,0.0092539,0,12,1,63,-10,1,0
0,0,0,0.047866,-0.002828,0,12,1,64,-10,1,0
0,0,0,0.061124,-0.0075456,0,12,1,65,-10,1,0
0,0,0,0.076991,-0.010425,0,12,1,66,-10,1,0
0,0,0,0.09158,-0.0089338,0,12,1,67,-10,1,0
0,0,0,0.11251,-0.011433,0,12,1,68,-10,1,0
0,0,0,0.12695,-0.011372,0,12,1,69,-10,1,0
0,0,0,0.1388,-0.014074,0,12,1,70,-10,1,0
0,0,0,0.14769,-0.019238,0,12,1,71,-10,1,0
0,0,0,0.14597,-0.020961,0,12,1,72,-10,1,0
0,0,0,0.12321,-0.011451,0,12,1,73,-10,1,0
0,0,0,0.10344,-0.0063468,0,12,1,74,-10,1,0
0,0,0,0.10226,-0.017315,0,12,1,75,-10,1,0
0,0,0,0.067908,-0.0024721,0,12,1,76,-10,1,0
0,0,0,0.051688,-0.00019368,0,12,1,77,-10,1,0
0,0,0,0.040972,-0.00035568,0,12,1,78,-10,1,0
0,0,0,0.018473,0.013825,0,12,1,79,-10,1,0
0,0,0,0.0064452,0.019468,0,12,1,80,-10,1,0
0,0,0,0.00025444,0.019285,0,12,1,81,-10,1,0
0,0,0,-0.0044314,0.017797,0,12,1,82,-10,1,0
0,0,0,-0.012825,0.022853,0,12,1,83,-10,1,0
0,0,0,-0.025207,0.036164,0,12,1,84,-10,1,0
0,0,0,-0.020304,0.029561,0,12,1,85,-10,1,0
0,0,0,-0.018789,0.028637,0,12,1,86,-10,1,0
0,0,0,-0.012578,0.021593,0,12,1,87,-10,1,0
0,0,0,-0.020267,0.03174,0,12,1,88,-10,1,0
0,0,0,-0.013873,0.024865,0,12,1,89,-10,1,0
0,0,0,-0.0046608,0.016433,0,12,1,90,-10,1,0
0,0,0,-0.0034866,0.019446,0,12,1,91,-10,1,0
0,0,0,-0.0036718,0.024732,0,12,1,92,-10,1,0
0,0,0,0.020351,0.0047495,0,12,1,93,-10,1,0
0,0,0,0.018212,0.011654,0,12,1,94,-10,1,0
0,0,0,0.034868,-0.0037289,0,12,1,95,-10,1,0
0,0,0,0.020973,0.0070395,0,12,1,96,-10,1,0
0,0,0,0.012257,0.0094462,0,12,1,97,-10,1,0
0,0,0,-0.006153,0.019973,0,12,1,98,-10,1,0
0,0,0,-0.014781,0.019428,0,12,1,99,-10,1,0
0,0,0,-0.030847,0.031407,0,12,1,100,-10,1,0
0,0,0,-0.046111,0.048847,0,12,1,101,-10,1,0
0,0,0,-0.038315,0.036546,0,12,1,102,-10,1,0
0,0,0,-0.03779,0.038934,0,12,1,103,-10,1,0
0,0,0,-0.024745,0.026354,0,12,1,104,-10,1,0
0,0,0,-0.01728,0.021507,0,12,1,105,-10,1,0
0,0,0,-0.020788,0.025788,0,12,1,106,-10,1,0
0,0,0,-0.031484,0.036102,0,12,1,107,-10,1,0
0,0,0,-0.033624,0.034766,0,12,1,108,-10,1,0
0,0,0,-0.038381,0.03622,0,12,1,109,-10,1,0
0,0,0,-0.049529,0.04888,0,12,1,110,-10,1,0
0,0,0,-0.050932,0.049441,0,12,1,111,-10,1,0
0,0,0,-0.050289,0.049568,0,12,1,112,-10,1,0
0,0,0,-0.046282,0.047604,0,12,1,113,-10,1,0
0,0,0,-0.027289,0.027715,0,12,1,114,-10,1,0
0,0,0,-0.024055,0.031892,0,12,1,115,-10,1,0
0,0,0,-0.0084108,0.018363,0,12,1,116,-10,1,0
0,0,0,-0.016731,0.026972,0,12,1,117,-10,1,0
0,0,0,-0.024712,0.030489,0,12,1,118,-10,1,0
0,0,0,-0.038435,0.041087,0,12,1,119,-10,1,0
0,0,0,-0.049383,0.049725,0,12,1,120,-10,1,0
0,0,0,-0.056563,0.055123,0,12,1,121,-10,1,0
0,0,0,-0.06004,0.058371,0,12,1,122,-10,1,0
0,0,0,-0.05615,0.052886,0,12,1,123,-10,1,0
0,0,0,-0.046496,0.041661,0,12,1,124,-10,1,0
0,0,0,-0.041165,0.039529,0,12,1,125,-10,1,0
0,0,0,-0.032526,0.032594,0,12,1,126,-10,1,0
0,0,0,-0.027047,0.028189,0,12,1,127,-10,1,0
0,0,0,-0.023681,0.023238,0,12,1,128,-10,1,0
0,0,0,-0.03845,0.040308,0,12,1,129,-10,1,0
0,0,0,-0.040136,0.040196,0,12,1,130,-10,1,0
0,0,0,-0.042877,0.042627,0,12,1,131,-10,1,0
0,0,0,-0.046395,0.046933,0,12,1,132,-10,1,0
0,0,0,-0.044689,0.044609,0,12,1,133,-10,1,0
0,0,0,-0.038598,0.038271,0,12,1,134,-10,1,0
0,0,0,-0.027918,0.027282,0,12,1,135,-10,1,0
0,0,0,-0.019867,0.020993,0,12,1,136,-10,1,0
0,0,0,-0.012342,0.016998,0,12,1,137,-10,1,0
0,0,0,-0.0049527,0.012059,0,12,1,138,-10,1,0
0,0,0,-0.0029774,0.011569,0,12,1,139,-10,1,0
0,0,0,-0.0084353,0.018088,0,12,1,140,-10,1,0
0,0,0,-0.017215,0.027917,0,12,1,141,-10,1,0
0,0,0,-0.019313,0.0299,0,12,1,142,-10,1,0
0,0,0,-0.012857,0.021894,0,12,1,143,-10,1,0
0,0,0,-0.017621,0.027917,0,12,1,144,-10,1,0
0,0,0,-0.011463,0.019078,0,12,1,145,-10,1,0
0,0,0,-0.023486,0.030677,0,12,1,146,-10,1,0
