"Psi","F_Psi","PedigreeNodeId","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0.003,0.0015,2,1,0.25,0,1,0
0.008,0.004,2,1,0.5,0,1,0
0.013,0.0065001,2,1,0.75,0,1,0
0.018,0.0090003,2,1,1,0,1,0
0.023,0.011501,2,1,1.25,0,1,0
0.028,0.014002,2,1,1.5,0,1,0
0.033,0.016504,2,1,1.75,0,1,0
0.038,0.019006,2,1,2,0,1,0
0.043,0.021509,2,1,2.25,0,1,0
0.048,0.024013,2,1,2.5,0,1,0
0.053,0.026517,2,1,2.75,0,1,0
0.058,0.029022,2,1,3,0,1,0
0.063,0.031528,2,1,3.25,0,1,0
0.068,0.034035,2,1,3.5,0,1,0
0.073,0.036544,2,1,3.75,0,1,0
0.078,0.039055,2,1,4,0,1,0
0.083,0.041567,2,1,4.25,0,1,0
0.088,0.04408,2,1,4.5,0,1,0
0.093,0.046593,2,1,4.75,0,1,0
0.098,0.049109,2,1,5,0,1,0
0.103,0.051626,2,1,5.25,0,1,0
0.108,0.054145,2,1,5.5,0,1,0
0.113,0.056667,2,1,5.75,0,1,0
0.118,0.059191,2,1,6,0,1,0
0.123,0.061718,2,1,6.25,0,1,0
0.128,0.064246,2,1,6.5,0,1,0
0.133,0.066776,2,1,6.75,0,1,0
0.138,0.069307,2,1,7,0,1,0
0.143,0.071841,2,1,7.25,0,1,0
0.148,0.074378,2,1,7.5,0,1,0
0.153,0.076918,2,1,7.75,0,1,0
0.158,0.079461,2,1,8,0,1,0
0.163,0.082008,2,1,8.25,0,1,0
0.168,0.084558,2,1,8.5,0,1,0
0.173,0.08711,2,1,8.75,0,1,0
0.178,0.089664,2,1,9,0,1,0
0.183,0.09222,2,1,9.25,0,1,0
0.188,0.094781,2,1,9.5,0,1,0
0.193,0.097345,2,1,9.75,0,1,0
0.198,0.099914,2,1,10,0,1,0
0.203,0.10249,2,1,10.25,0,1,0
0.208,0.10506,2,1,10.5,0,1,0
0.213,0.10764,2,1,10.75,0,1,0
0.218,0.11023,2,1,11,0,1,0
0.223,0.11281,2,1,11.25,0,1,0
0.228,0.1154,2,1,11.5,0,1,0
0.233,0.118,2,1,11.75,0,1,0
0.238,0.1206,2,1,12,0,1,0
0.243,0.1232,2,1,12.25,0,1,0
0.248,0.12581,2,1,12.5,0,1,0
0.253,0.12843,2,1,12.75,0,1,0
0.258,0.13105,2,1,13,0,1,0
0.263,0.13367,2,1,13.25,0,1,0
0.268,0.1363,2,1,13.5,0,1,0
0.273,0.13893,2,1,13.75,0,1,0
0.278,0.14157,2,1,14,0,1,0
0.283,0.14421,2,1,14.25,0,1,0
0.288,0.14686,2,1,14.5,0,1,0
0.293,0.14952,2,1,14.75,0,1,0
0.298,0.15218,2,1,15,0,1,0
0.303,0.15485,2,1,15.25,0,1,0
0.308,0.15752,2,1,15.5,0,1,0
0.313,0.1602,2,1,15.75,0,1,0
0.318,0.16288,2,1,16,0,1,0
0.323,0.16557,2,1,16.25,0,1,0
0.328,0.16827,2,1,16.5,0,1,0
0.333,0.17097,2,1,16.75,0,1,0
0.338,0.17369,2,1,17,0,1,0
0.343,0.17641,2,1,17.25,0,1,0
0.348,0.17913,2,1,17.5,0,1,0
0.353,0.18186,2,1,17.75,0,1,0
0.358,0.18459,2,1,18,0,1,0
0.363,0.18734,2,1,18.25,0,1,0
0.368,0.19009,2,1,18.5,0,1,0
0.373,0.19285,2,1,18.75,0,1,0
0.378,0.19562,2,1,19,0,1,0
0.383,0.1984,2,1,19.25,0,1,0
0.388,0.20119,2,1,19.5,0,1,0
0.393,0.20398,2,1,19.75,0,1,0
0.398,0.20678,2,1,20,0,1,0
0.403,0.20958,2,1,20.25,0,1,0
0.408,0.2124,2,1,20.5,0,1,0
0.413,0.21523,2,1,20.75,0,1,0
0.418,0.21806,2,1,21,0,1,0
0.423,0.22091,2,1,21.25,0,1,0
0.428,0.22377,2,1,21.5,0,1,0
0.433,0.22663,2,1,21.75,0,1,0
0.438,0.2295,2,1,22,0,1,0
0.443,0.23238,2,1,22.25,0,1,0
0.448,0.23527,2,1,22.5,0,1,0
0.453,0.23817,2,1,22.75,0,1,0
0.458,0.24108,2,1,23,0,1,0
0.463,0.24401,2,1,23.25,0,1,0
0.468,0.24694,2,1,23.5,0,1,0
0.473,0.24989,2,1,23.75,0,1,0
0.478,0.25284,2,1,24,0,1,0
0.483,0.25581,2,1,24.25,0,1,0
0.488,0.25878,2,1,24.5,0,1,0
0.493,0.26177,2,1,24.75,0,1,0
0.498,0.26477,2,1,25,0,1,0
0.503,0.26778,2,1,25.25,0,1,0
0.508,0.27081,2,1,25.5,0,1,0
0.513,0.27385,2,1,25.75,0,1,0
0.518,0.2769,2,1,26,0,1,0
0.523,0.27996,2,1,26.25,0,1,0
0.528,0.28303,2,1,26.5,0,1,0
0.533,0.28611,2,1,26.75,0,1,0
0.538,0.28921,2,1,27,0,1,0
0.543,0.29232,2,1,27.25,0,1,0
0.548,0.29545,2,1,27.5,0,1,0
0.553,0.2986,2,1,27.75,0,1,0
0.558,0.30176,2,1,28,0,1,0
0.563,0.30493,2,1,28.25,0,1,0
0.568,0.30812,2,1,28.5,0,1,0
0.573,0.31132,2,1,28.75,0,1,0
0.578,0.31452,2,1,29,0,1,0
0.583,0.31775,2,1,29.25,0,1,0
0.588,0.321,2,1,29.5,0,1,0
0.593,0.32426,2,1,29.75,0,1,0
0.598,0.32755,2,1,30,0,1,0
0.603,0.33085,2,1,30.25,0,1,0
0.608,0.33416,2,1,30.5,0,1,0
0.613,0.33749,2,1,30.75,0,1,0
0.618,0.34083,2,1,31,0,1,0
0.623,0.34419,2,1,31.25,0,1,0
0.628,0.34757,2,1,31.5,0,1,0
0.633,0.35097,2,1,31.75,0,1,0
0.638,0.35439,2,1,32,0,1,0
0.643,0.35783,2,1,32.25,0,1,0
0.648,0.3613,2,1,32.5,0,1,0
0.653,0.36478,2,1,32.75,0,1,0
0.658,0.36827,2,1,33,0,1,0
0.663,0.37179,2,1,33.25,0,1,0
0.668,0.37532,2,1,33.5,0,1,0
0.673,0.37887,2,1,33.75,0,1,0
0.678,0.38245,2,1,34,0,1,0
0.683,0.38606,2,1,34.25,0,1,0
0.688,0.38968,2,1,34.5,0,1,0
0.693,0.39333,2,1,34.75,0,1,0
0.698,0.39701,2,1,35,0,1,0
0.703,0.4007,2,1,35.25,0,1,0
0.708,0.40441,2,1,35.5,0,1,0
0.713,0.40815,2,1,35.75,0,1,0
0.718,0.41191,2,1,36,0,1,0
0.723,0.41569,2,1,36.25,0,1,0
0.728,0.41952,2,1,36.5,0,1,0
0.733,0.42336,2,1,36.75,0,1,0
0.738,0.42724,2,1,37,0,1,0
0.743,0.43113,2,1,37.25,0,1,0
0.748,0.43506,2,1,37.5,0,1,0
0.753,0.439,2,1,37.75,0,1,0
0.758,0.44298,2,1,38,0,1,0
0.763,0.44698,2,1,38.25,0,1,0
0.768,0.45101,2,1,38.5,0,1,0
0.773,0.45509,2,1,38.75,0,1,0
0.778,0.45918,2,1,39,0,1,0
0.783,0.46333,2,1,39.25,0,1,0
0.788,0.46749,2,1,39.5,0,1,0
0.793,0.47169,2,1,39.75,0,1,0
0.798,0.47591,2,1,40,0,1,0
0.803,0.48017,2,1,40.25,0,1,0
0.808,0.48446,2,1,40.5,0,1,0
0.813,0.48879,2,1,40.75,0,1,0
0.818,0.49316,2,1,41,0,1,0
0.823,0.49756,2,1,41.25,0,1,0
0.828,0.50201,2,1,41.5,0,1,0
0.833,0.5065,2,1,41.75,0,1,0
0.838,0.51103,2,1,42,0,1,0
0.843,0.51558,2,1,42.25,0,1,0
0.848,0.52018,2,1,42.5,0,1,0
0.853,0.52481,2,1,42.75,0,1,0
0.858,0.5295,2,1,43,0,1,0
0.863,0.53421,2,1,43.25,0,1,0
0.868,0.53899,2,1,43.5,0,1,0
0.873,0.54381,2,1,43.75,0,1,0
0.878,0.54868,2,1,44,0,1,0
0.883,0.5536,2,1,44.25,0,1,0
0.888,0.55856,2,1,44.5,0,1,0
0.893,0.56357,2,1,44.75,0,1,0
0.898,0.56862,2,1,45,0,1,0
0.903,0.57373,2,1,45.25,0,1,0
0.908,0.57888,2,1,45.5,0,1,0
0.913,0.58411,2,1,45.75,0,1,0
0.918,0.58937,2,1,46,0,1,0
0.923,0.59472,2,1,46.25,0,1,0
0.928,0.60011,2,1,46.5,0,1,0
0.933,0.60558,2,1,46.75,0,1,0
0.938,0.61108,2,1,47,0,1,0
0.943,0.61666,2,1,47.25,0,1,0
0.948,0.62228,2,1,47.5,0,1,0
0.953,0.62799,2,1,47.75,0,1,0
0.958,0.63374,2,1,48,0,1,0
0.963,0.63959,2,1,48.25,0,1,0
0.968,0.64548,2,1,48.5,0,1,0
0.973,0.65149,2,1,48.75,0,1,0
0.978,0.65754,2,1,49,0,1,0
0.983,0.6637,2,1,49.25,0,1,0
0.988,0.6699,2,1,49.5,0,1,0
0.993,0.67621,2,1,49.75,0,1,0
0.998,0.68257,2,1,50,0,1,0
1.003,0.68904,2,1,50.25,0,1,0
1.008,0.69557,2,1,50.5,0,1,0
1.013,0.70222,2,1,50.75,0,1,0
1.018,0.70894,2,1,51,0,1,0
1.023,0.71579,2,1,51.25,0,1,0
1.028,0.72272,2,1,51.5,0,1,0
1.033,0.72977,2,1,51.75,0,1,0
1.038,0.7369,2,1,52,0,1,0
1.043,0.74416,2,1,52.25,0,1,0
1.048,0.7515,2,1,52.5,0,1,0
1.053,0.75898,2,1,52.75,0,1,0
1.058,0.76654,2,1,53,0,1,0
1.063,0.77426,2,1,53.25,0,1,0
1.068,0.78207,2,1,53.5,0,1,0
1.073,0.79007,2,1,53.75,0,1,0
1.078,0.79816,2,1,54,0,1,0
1.083,0.80643,2,1,54.25,0,1,0
1.088,0.81481,2,1,54.5,0,1,0
1.093,0.82336,2,1,54.75,0,1,0
1.098,0.83205,2,1,55,0,1,0
1.103,0.8409,2,1,55.25,0,1,0
1.108,0.84991,2,1,55.5,0,1,0
1.113,0.85908,2,1,55.75,0,1,0
1.118,0.86846,2,1,56,0,1,0
1.123,0.87798,2,1,56.25,0,1,0
1.128,0.88776,2,1,56.5,0,1,0
1.133,0.89769,2,1,56.75,0,1,0
1.138,0.90788,2,1,57,0,1,0
1.143,0.91825,2,1,57.25,0,1,0
1.148,0.92886,2,1,57.5,0,1,0
1.153,0.93972,2,1,57.75,0,1,0
1.158,0.95077,2,1,58,0,1,0
1.163,0.96213,2,1,58.25,0,1,0
1.168,0.9737,2,1,58.5,0,1,0
1.173,0.9856,2,1,58.75,0,1,0
1.178,0.99777,2,1,59,0,1,0
1.183,1.0102,2,1,59.25,0,1,0
1.188,1.0231,2,1,59.5,0,1,0
1.193,1.0362,2,1,59.75,0,1,0
1.198,1.0497,2,1,60,0,1,0
1.203,1.0637,2,1,60.25,0,1,0
1.208,1.0779,2,1,60.5,0,1,0
1.213,1.0926,2,1,60.75,0,1,0
1.218,1.1077,2,1,61,0,1,0
1.223,1.1233,2,1,61.25,0,1,0
1.228,1.1394,2,1,61.5,0,1,0
1.233,1.156,2,1,61.75,0,1,0
1.238,1.1731,2,1,62,0,1,0
1.243,1.1908,2,1,62.25,0,1,0
1.248,1.2091,2,1,62.5,0,1,0
1.253,1.2281,2,1,62.75,0,1,0
1.258,1.2479,2,1,63,0,1,0
1.263,1.2683,2,1,63.25,0,1,0
1.268,1.2895,2,1,63.5,0,1,0
1.273,1.3116,2,1,63.75,0,1,0
1.278,1.3347,2,1,64,0,1,0
