"Psi","F_Psi","PedigreeNodeId","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0.05,0.013805,310,1,0.5,-24.4,11.561,0
0.1,0.02761,310,1,1,-24.4,11.561,0
0.15,0.041415,310,1,1.5,-24.4,11.561,0
0.2,0.055221,310,1,2,-24.4,11.561,0
0.25,0.069026,310,1,2.5,-24.4,11.561,0
0.3,0.082831,310,1,3,-24.4,11.561,0
0.35,0.096635,310,1,3.5,-24.4,11.561,0
0.4,0.11044,310,1,4,-24.4,11.561,0
0.45,0.12424,310,1,4.5,-24.4,11.561,0
0.5,0.13803,310,1,5,-24.4,11.561,0
0.55,0.15182,310,1,5.5,-24.4,11.561,0
0.6,0.1656,310,1,6,-24.4,11.561,0
0.65,0.17938,310,1,6.5,-24.4,11.561,0
0.7,0.19314,310,1,7,-24.4,11.561,0
0.75,0.20689,310,1,7.5,-24.4,11.561,0
0.8,0.22063,310,1,8,-24.4,11.561,0
0.85,0.23437,310,1,8.5,-24.4,11.561,0
0.9,0.24811,310,1,9,-24.4,11.561,0
0.95,0.26184,310,1,9.5,-24.4,11.561,0
1,0.27557,310,1,10,-24.4,11.561,0
1.05,0.28929,310,1,10.5,-24.4,11.561,0
1.1,0.303,310,1,11,-24.4,11.561,0
1.15,0.31671,310,1,11.5,-24.4,11.561,0
1.2,0.3304,310,1,12,-24.4,11.561,0
1.25,0.3441,310,1,12.5,-24.4,11.561,0
1.3,0.35779,310,1,13,-24.4,11.561,0
1.35,0.37148,310,1,13.5,-24.4,11.561,0
1.4,0.38516,310,1,14,-24.4,11.561,0
1.45,0.39883,310,1,14.5,-24.4,11.561,0
1.5,0.41247,310,1,15,-24.4,11.561,0
1.55,0.42607,310,1,15.5,-24.4,11.561,0
1.6,0.43963,310,1,16,-24.4,11.561,0
1.65,0.45315,310,1,16.5,-24.4,11.561,0
1.7,0.46663,310,1,17,-24.4,11.561,0
1.75,0.48009,310,1,17.5,-24.4,11.561,0
1.8,0.49353,310,1,18,-24.4,11.561,0
1.85,0.50694,310,1,18.5,-24.4,11.561,0
1.9,0.52034,310,1,19,-24.4,11.561,0
1.95,0.53373,310,1,19.5,-24.4,11.561,0
2,0.54711,310,1,20,-24.4,11.561,0
2.05,0.56048,310,1,20.5,-24.4,11.561,0
2.1,0.57383,310,1,21,-24.4,11.561,0
2.15,0.58715,310,1,21.5,-24.4,11.561,0
2.2,0.60041,310,1,22,-24.4,11.561,0
2.25,0.61361,310,1,22.5,-24.4,11.561,0
2.3,0.62675,310,1,23,-24.4,11.561,0
2.35,0.63982,310,1,23.5,-24.4,11.561,0
2.4,0.65284,310,1,24,-24.4,11.561,0
2.45,0.66581,310,1,24.5,-24.4,11.561,0
2.5,0.67875,310,1,25,-24.4,11.561,0
2.55,0.69166,310,1,25.5,-24.4,11.561,0
2.6,0.70455,310,1,26,-24.4,11.561,0
2.65,0.71744,310,1,26.5,-24.4,11.561,0
2.7,0.73034,310,1,27,-24.4,11.561,0
2.75,0.74326,310,1,27.5,-24.4,11.561,0
2.8,0.75624,310,1,28,-24.4,11.561,0
2.85,0.76933,310,1,28.5,-24.4,11.561,0
2.9,0.78256,310,1,29,-24.4,11.561,0
2.95,0.79597,310,1,29.5,-24.4,11.561,0
3,0.80954,310,1,30,-24.4,11.561,0
3.05,0.82327,310,1,30.5,-24.4,11.561,0
3.1,0.83711,310,1,31,-24.4,11.561,0
3.15,0.85102,310,1,31.5,-24.4,11.561,0
3.2,0.86497,310,1,32,-24.4,11.561,0
3.25,0.87892,310,1,32.5,-24.4,11.561,0
3.3,0.89283,310,1,33,-24.4,11.561,0
3.35,0.90666,310,1,33.5,-24.4,11.561,0
3.4,0.9204,310,1,34,-24.4,11.561,0
3.45,0.93407,310,1,34.5,-24.4,11.561,0
3.5,0.94771,310,1,35,-24.4,11.561,0
3.55,0.9614,310,1,35.5,-24.4,11.561,0
3.6,0.97519,310,1,36,-24.4,11.561,0
3.65,0.98916,310,1,36.5,-24.4,11.561,0
3.7,1.0033,310,1,37,-24.4,11.561,0
3.75,1.0177,310,1,37.5,-24.4,11.561,0
3.8,1.0323,310,1,38,-24.4,11.561,0
3.85,1.047,310,1,38.5,-24.4,11.561,0
3.9,1.0618,310,1,39,-24.4,11.561,0
3.95,1.0766,310,1,39.5,-24.4,11.561,0
4,1.0914,310,1,40,-24.4,11.561,0
4.05,1.1062,310,1,40.5,-24.4,11.561,0
4.1,1.1211,310,1,41,-24.4,11.561,0
4.15,1.1362,310,1,41.5,-24.4,11.561,0
4.2,1.1517,310,1,42,-24.4,11.561,0
4.25,1.1677,310,1,42.5,-24.4,11.561,0
4.3,1.1842,310,1,43,-24.4,11.561,0
4.35,1.2014,310,1,43.5,-24.4,11.561,0
4.4,1.2191,310,1,44,-24.4,11.561,0
4.45,1.2375,310,1,44.5,-24.4,11.561,0
4.5,1.2568,310,1,45,-24.4,11.561,0
4.55,1.2773,310,1,45.5,-24.4,11.561,0
4.6,1.2993,310,1,46,-24.4,11.561,0
4.65,1.3235,310,1,46.5,-24.4,11.561,0
4.7,1.3504,310,1,47,-24.4,11.561,0
4.75,1.3805,310,1,47.5,-24.4,11.561,0
4.8,1.4146,310,1,48,-24.4,11.561,0
4.85,1.4537,310,1,48.5,-24.4,11.561,0
4.9,1.4997,310,1,49,-24.4,11.561,0
4.95,1.5556,310,1,49.5,-24.4,11.561,0
5,1.626,310,1,50,-24.4,11.561,0
5.05,1.7171,310,1,50.5,-24.4,11.561,0
5.1,1.8359,310,1,51,-24.4,11.561,0
5.15,1.9859,310,1,51.5,-24.4,11.561,0
5.2,2.1581,310,1,52,-24.4,11.561,0
5.25,2.3216,310,1,52.5,-24.4,11.561,0
5.3,2.4288,310,1,53,-24.4,11.561,0
5.35,2.4488,310,1,53.5,-24.4,11.561,0
5.4,2.3979,310,1,54,-24.4,11.561,0
5.45,2.3288,310,1,54.5,-24.4,11.561,0
5.5,2.2857,310,1,55,-24.4,11.561,0
5.55,2.2767,310,1,55.5,-24.4,11.561,0
5.6,2.2829,310,1,56,-24.4,11.561,0
5.65,2.2741,310,1,56.5,-24.4,11.561,0
5.7,2.2144,310,1,57,-24.4,11.561,0
5.75,2.0732,310,1,57.5,-24.4,11.561,0
5.8,1.8535,310,1,58,-24.4,11.561,0
5.85,1.6089,310,1,58.5,-24.4,11.561,0
5.9,1.3949,310,1,59,-24.4,11.561,0
5.95,1.2391,310,1,59.5,-24.4,11.561,0
6,1.1738,310,1,60,-24.4,11.561,0
6.05,1.2389,310,1,60.5,-24.4,11.561,0
6.1,1.526,310,1,61,-24.4,11.561,0
6.15,1.9308,310,1,61.5,-24.4,11.561,0
6.2,2.2704,310,1,62,-24.4,11.561,0
6.25,2.5856,310,1,62.5,-24.4,11.561,0
6.3,2.7272,310,1,63,-24.4,11.561,0
6.35,2.8762,310,1,63.5,-24.4,11.561,0
6.4,2.8529,310,1,64,-24.4,11.561,0
6.45,2.8764,310,1,64.5,-24.4,11.561,0
6.5,3.1215,310,1,65,-24.4,11.561,0
6.55,3.1164,310,1,65.5,-24.4,11.561,0
6.6,2.8674,310,1,66,-24.4,11.561,0
6.65,3.0078,310,1,66.5,-24.4,11.561,0
6.7,3.5188,310,1,67,-24.4,11.561,0
6.75,3.7954,310,1,67.5,-24.4,11.561,0
6.8,4.2049,310,1,68,-24.4,11.561,0
6.85,4.0814,310,1,68.5,-24.4,11.561,0
6.9,3.869,310,1,69,-24.4,11.561,0
6.95,3.8668,310,1,69.5,-24.4,11.561,0
7,3.5992,310,1,70,-24.4,11.561,0
7.05,2.8694,310,1,70.5,-24.4,11.561,0
7.1,2.2379,310,1,71,-24.4,11.561,0
7.15,1.958,310,1,71.5,-24.4,11.561,0
7.2,1.8171,310,1,72,-24.4,11.561,0
7.25,2.2777,310,1,72.5,-24.4,11.561,0
7.3,3.1386,310,1,73,-24.4,11.561,0
7.35,3.9656,310,1,73.5,-24.4,11.561,0
7.4,4.3991,310,1,74,-24.4,11.561,0
7.45,4.4455,310,1,74.5,-24.4,11.561,0
7.5,5.0507,310,1,75,-24.4,11.561,0
7.55,5.118,310,1,75.5,-24.4,11.561,0
7.6,4.4231,310,1,76,-24.4,11.561,0
7.65,4.4794,310,1,76.5,-24.4,11.561,0
7.7,4.4601,310,1,77,-24.4,11.561,0
7.75,3.8005,310,1,77.5,-24.4,11.561,0
7.8,3.4948,310,1,78,-24.4,11.561,0
7.85,2.7693,310,1,78.5,-24.4,11.561,0
7.9,3.7336,310,1,79,-24.4,11.561,0
7.95,3.2977,310,1,79.5,-24.4,11.561,0
8,3.3418,310,1,80,-24.4,11.561,0
8.05,7.466,310,1,80.5,-24.4,11.561,0
8.1,9.5215,310,1,81,-24.4,11.561,0
8.15,7.8637,310,1,81.5,-24.4,11.561,0
8.2,3.968,310,1,82,-24.4,11.561,0
8.25,3.6713,310,1,82.5,-24.4,11.561,0
8.3,8.7595,310,1,83,-24.4,11.561,0
8.35,11.989,310,1,83.5,-24.4,11.561,0
8.4,6.0971,310,1,84,-24.4,11.561,0
8.45,6.1189,310,1,84.5,-24.4,11.561,0
8.5,4.2666,310,1,85,-24.4,11.561,0
8.55,4.0662,310,1,85.5,-24.4,11.561,0
8.6,5.4632,310,1,86,-24.4,11.561,0
8.65,6.8006,310,1,86.5,-24.4,11.561,0
8.7,7.6662,310,1,87,-24.4,11.561,0
8.75,4.8731,310,1,87.5,-24.4,11.561,0
8.8,5.394,310,1,88,-24.4,11.561,0
8.85,5.8476,310,1,88.5,-24.4,11.561,0
8.9,4.5453,310,1,89,-24.4,11.561,0
