"D_:0","D_:1","D_:2","s11","s22","s12","D1","D2","E1","E2","EMag","Psi","PedigreeNodeId","Result","Gradients:0","Gradients:1","Gradients:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
-1.1185e-07,1.4403e-08,0,-1.3498e-05,-0.00028953,-7.8277e-06,0.016638,-0.00047556,0.016638,-0.00047556,0.016658,0.011926,1424,-0.011926,0.016639,-0.00047629,0,1,0.1,-2.6793,0.085388,0
-1.5031e-06,2.1571e-07,0,-8.9044e-05,-0.0011871,-3.0511e-05,0.033277,-0.00095118,0.033277,-0.00095116,0.033316,0.023852,1424,-0.023852,0.033279,-0.00095261,0,1,0.2,-2.6793,0.085388,0
-6.9146e-06,1.0332e-06,0,-0.00025023,-0.0026988,-6.5691e-05,0.049917,-0.0014271,0.049916,-0.0014269,0.049975,0.035777,1424,-0.035777,0.04992,-0.0014292,0,1,0.3,-2.6793,0.085389,0
-2.0088e-05,3.0731e-06,0,-0.00052687,-0.004827,-0.00010954,0.066561,-0.0019038,0.066558,-0.0019029,0.066636,0.047701,1424,-0.047701,0.066564,-0.0019063,0,1,0.4,-2.6793,0.085391,0
-4.5199e-05,7.0386e-06,0,-0.00091628,-0.007534,-0.00015706,0.083212,-0.002382,0.083201,-0.0023794,0.083298,0.059622,1424,-0.059622,0.083212,-0.0023844,0,1,0.5,-2.6794,0.085395,0
-8.6975e-05,1.3714e-05,0,-0.0014109,-0.010771,-0.00020286,0.099872,-0.0028625,0.099845,-0.0028561,0.099962,0.07154,1424,-0.07154,0.099866,-0.0028638,0,1,0.6,-2.6794,0.085402,0
-0.00015115,2.397e-05,0,-0.0019922,-0.014479,-0.00024251,0.11655,-0.0033459,0.11649,-0.0033326,0.11663,0.083455,1424,-0.083455,0.11653,-0.0033447,0,1,0.7,-2.6795,0.085412,0
-0.00024473,3.8683e-05,0,-0.0026767,-0.018636,-0.00027409,0.13324,-0.003833,0.13313,-0.0038087,0.13329,0.095367,1424,-0.095367,0.1332,-0.0038276,0,1,0.8,-2.6796,0.085427,0
-0.00037557,5.8513e-05,0,-0.0034958,-0.023247,-0.00029886,0.14995,-0.004324,0.14977,-0.0042838,0.14995,0.10727,1424,-0.10727,0.14988,-0.004313,0,1,0.9,-2.6797,0.085447,0
-0.00055134,8.3633e-05,0,-0.0044874,-0.02834,-0.00032047,0.1667,-0.0048191,0.16641,-0.0047579,0.16661,0.11917,1424,-0.11917,0.16658,-0.0048015,0,1,1,-2.6799,0.085472,0
-0.00077859,0.00011364,0,-0.0056453,-0.033915,-0.00034284,0.18348,-0.0053185,0.18305,-0.0052309,0.18326,0.13107,1424,-0.13107,0.1833,-0.0052935,0,1,1.1,-2.6801,0.085502,0
-0.0010626,0.00014785,0,-0.0069521,-0.039967,-0.0003681,0.2003,-0.0058226,0.19969,-0.0057031,0.19992,0.14295,1424,-0.14295,0.20003,-0.0057896,0,1,1.2,-2.6804,0.085536,0
-0.001408,0.00018587,0,-0.0083687,-0.046465,-0.00039574,0.21717,-0.0063324,0.21632,-0.0061746,0.21657,0.15483,1424,-0.15483,0.21679,-0.0062902,0,1,1.3,-2.6807,0.085574,0
-0.0018198,0.00022804,0,-0.0098877,-0.053399,-0.00042336,0.23409,-0.0068494,0.23296,-0.0066461,0.23323,0.1667,1424,-0.1667,0.23358,-0.0067959,0,1,1.4,-2.6811,0.085616,0
-0.002304,0.0002755,0,-0.011532,-0.060773,-0.0004479,0.25107,-0.0073753,0.24959,-0.0071178,0.24988,0.17856,1424,-0.17856,0.2504,-0.0073074,0,1,1.5,-2.6816,0.085664,0
-0.0028674,0.00032958,0,-0.013359,-0.068619,-0.00046669,0.26812,-0.0079114,0.26622,-0.0075896,0.26653,0.19041,1424,-0.19041,0.26725,-0.0078261,0,1,1.6,-2.6822,0.085718,0
-0.0035171,0.00039113,0,-0.015411,-0.076954,-0.00047802,0.28525,-0.0084586,0.28285,-0.0080612,0.28317,0.20224,1424,-0.20224,0.28414,-0.0083525,0,1,1.7,-2.6828,0.085779,0
-0.0042593,0.0004601,0,-0.017693,-0.085773,-0.00048152,0.30246,-0.0090172,0.29947,-0.0085315,0.29982,0.21407,1424,-0.21407,0.30107,-0.0088875,0,1,1.8,-2.6836,0.085848,0
-0.0050995,0.00053576,0,-0.020189,-0.095067,-0.00047866,0.31977,-0.0095871,0.31609,-0.0089998,0.31645,0.22588,1424,-0.22588,0.31805,-0.0094315,0,1,1.9,-2.6844,0.085924,0
-0.0060429,0.00061725,0,-0.022867,-0.10483,-0.00047258,0.33717,-0.010168,0.33271,-0.0094654,0.33308,0.23769,1424,-0.23769,0.33508,-0.009985,0,1,2,-2.6854,0.086005,0
-0.0070948,0.00070407,0,-0.025713,-0.11507,-0.00046687,0.35468,-0.01076,0.34932,-0.0099282,0.34971,0.24948,1424,-0.24948,0.35217,-0.010549,0,1,2.1,-2.6864,0.086092,0
-0.0082605,0.00079621,0,-0.028751,-0.12585,-0.00046346,0.3723,-0.011365,0.36593,-0.010389,0.36635,0.26127,1424,-0.26127,0.36931,-0.011126,0,1,2.2,-2.6876,0.086184,0
-0.0095455,0.00089394,0,-0.032017,-0.13722,-0.00046105,0.39005,-0.011984,0.38256,-0.010848,0.38298,0.27304,1424,-0.27304,0.38653,-0.011715,0,1,2.3,-2.6889,0.086282,0
