"D_:0","D_:1","D_:2","s11","s22","s12","D1","D2","E1","E2","EMag","Psi","PedigreeNodeId","Result","E_field:0","E_field:1","E_field:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0,0,0,1.0803e-11,1.0763e-11,-2.347e-16,0,0,0,0,0,0,253,-0,0,0,0,1,0.1,-10,0,0
0,0,0,2.9615e-06,2.951e-06,-3.23e-11,0,0,0,0,0,0,253,-0,0,0,0,1,0.2,-10,0,0
0,0,0,0.0025681,0.0025589,-2.0785e-08,0,0,0,0,0,0,253,-0,0,0,0,1,0.3,-10,0,0
0,0,0,0.04601,0.045841,-1.8157e-07,0,0,0,0,0,0,253,-0,0,0,0,1,0.4,-10,0,0
0,0,0,0.0965,0.09612,-9.0639e-07,0,0,0,0,0,0,253,-0,0,0,0,1,0.5,-10,0,0
0,0,0,0.14927,0.14864,-1.7441e-06,0,0,0,0,0,0,253,-0,0,0,0,1,0.6,-10,0,0
0,0,0,0.20227,0.20137,-3.0643e-06,0,0,0,0,0,0,253,-0,0,0,0,1,0.7,-10,0,0
0,0,0,0.26108,0.25986,-4.1287e-06,0,0,0,0,0,0,253,-0,0,0,0,1,0.8,-10,0,0
0,0,0,0.3648,0.36315,-3.5288e-06,0,0,0,0,0,0,253,-0,0,0,0,1,0.9,-10,0,0
0,0,0,0.48597,0.48386,-2.0704e-06,7.3445e-17,1.2591e-22,7.3513e-17,-6.4704e-24,7.3513e-17,6.6613e-16,253,-6.6613e-16,7.3445e-17,-2.7355e-35,0,1,1,-10,0,0
0,0,0,0.57652,0.57391,8.4233e-07,0.011021,-9.0553e-09,0.011033,-9.6523e-10,0.011033,0.1,253,-0.1,0.011021,1.3084e-20,0,1,1.1,-10,0,0
0,0,0,0.66385,0.66051,3.7182e-06,0.022034,-7.329e-08,0.022061,-1.9365e-09,0.022061,0.2,253,-0.2,0.022034,6.442e-21,0,1,1.2,-10,0,0
0,0,0,0.74788,0.74359,4.9774e-06,0.03304,-1.4611e-07,0.033086,-2.8734e-09,0.033086,0.3,253,-0.3,0.03304,-3.3104e-21,0,1,1.3,-10,0,0
0,0,0,0.78044,0.77517,4.263e-06,0.044044,-1.6732e-07,0.044108,-3.7792e-09,0.044108,0.4,253,-0.4,0.044044,3.4013e-20,0,1,1.4,-10,0,0
0,0,0,0.79642,0.79004,2.2452e-06,0.05505,-1.124e-07,0.05513,-4.7262e-09,0.05513,0.5,253,-0.5,0.05505,2.3266e-20,0,1,1.5,-10,0,0
0,0,0,0.76102,0.75352,-5.0751e-06,0.066059,2.8625e-07,0.06615,-5.6214e-09,0.06615,0.6,253,-0.6,0.066059,-5.8667e-21,0,1,1.6,-10,0,0
0,0,0,0.74614,0.73729,-1.1264e-05,0.07708,7.4954e-07,0.077178,-6.4331e-09,0.077178,0.7,253,-0.7,0.07708,6.7234e-20,0,1,1.7,-10,0,0
0,0,0,0.73154,0.72113,-1.6063e-05,0.088116,1.2251e-06,0.088217,-7.3141e-09,0.088217,0.8,253,-0.8,0.088116,-9.4265e-20,0,1,1.8,-10,0,0
0,0,0,0.63961,0.62759,-1.9405e-05,0.099163,1.6671e-06,0.099257,-8.4014e-09,0.099257,0.9,253,-0.9,0.099163,1.5145e-22,0,1,1.9,-10,0,0
0,0,0,0.50452,0.49075,-2.1729e-05,0.11022,2.076e-06,0.1103,-9.5115e-09,0.1103,1,253,-1,0.11022,-1.1197e-20,0,1,2,-10,0,0
0,0,0,0.39618,0.38031,-1.9975e-05,0.12129,2.0988e-06,0.12136,-1.0839e-08,0.12136,1.1,253,-1.1,0.12129,-7.8439e-20,0,1,2.1,-10,0,0
0,0,0,0.31006,0.29181,-1.5118e-05,0.13237,1.7309e-06,0.13242,-1.1491e-08,0.13242,1.2,253,-1.2,0.13237,-9.8211e-20,0,1,2.2,-10,0,0
0,0,0,0.25145,0.23042,-4.6684e-06,0.14345,5.7011e-07,0.14348,-1.2718e-08,0.14348,1.3,253,-1.3,0.14345,6.117e-20,0,1,2.3,-10,0,0
0,0,0,0.19119,0.16709,4.7808e-06,0.15453,-6.5752e-07,0.15454,-1.3785e-08,0.15454,1.4,253,-1.4,0.15453,7.4849e-20,0,1,2.4,-10,0,0
0,0,0,0.14609,0.11858,9.2196e-06,0.16559,-1.3447e-06,0.1656,-1.4722e-08,0.1656,1.5,253,-1.5,0.16559,-2.5394e-19,0,1,2.5,-10,0,0
0,0,0,0.17005,0.13858,1.04e-05,0.17664,-1.616e-06,0.17666,-1.5739e-08,0.17666,1.6,253,-1.6,0.17664,5.7069e-21,0,1,2.6,-10,0,0
0,0,0,0.19684,0.16109,4.5505e-06,0.18767,-7.6134e-07,0.18772,-1.7111e-08,0.18772,1.7,253,-1.7,0.18767,6.8137e-20,0,1,2.7,-10,0,0
0,0,0,0.24274,0.20237,-3.8793e-06,0.19868,6.5171e-07,0.19876,-1.8846e-08,0.19876,1.8,253,-1.8,0.19868,7.8221e-20,0,1,2.8,-10,0,0
0,0,0,0.29993,0.2547,-1.3476e-05,0.20966,2.4402e-06,0.20978,-1.9351e-08,0.20978,1.9,253,-1.9,0.20966,2.0859e-19,0,1,2.9,-10,0,0
0,0,0,0.40351,0.35305,-1.6907e-05,0.22063,3.2264e-06,0.2208,-2.1026e-08,0.2208,2,253,-2,0.22063,4.1543e-20,0,1,3,-10,0,0
0,0,0,0.52014,0.46422,-1.3889e-05,0.23159,2.7788e-06,0.23182,-2.0942e-08,0.23182,2.1,253,-2.1,0.23159,-2.2036e-20,0,1,3.1,-10,0,0
0,0,0,0.61578,0.5542,-4.314e-06,0.24255,8.8739e-07,0.24284,-2.2558e-08,0.24284,2.2,253,-2.2,0.24255,-1.4087e-19,0,1,3.2,-10,0,0
0,0,0,0.67519,0.60788,4.414e-06,0.25352,-9.9926e-07,0.25385,-2.3374e-08,0.25385,2.3,253,-2.3,0.25352,1.357e-20,0,1,3.3,-10,0,0
0,0,0,0.71513,0.64197,8.4888e-06,0.2645,-1.9808e-06,0.26487,-2.3987e-08,0.26487,2.4,253,-2.4,0.2645,2.2237e-19,0,1,3.4,-10,0,0
0,0,0,0.75086,0.67165,6.1588e-06,0.27551,-1.5049e-06,0.2759,-2.5423e-08,0.2759,2.5,253,-2.5,0.27551,-1.6739e-19,0,1,3.5,-10,0,0
0,0,0,0.79005,0.70465,8.3347e-07,0.28656,-2.36e-07,0.28696,-2.6047e-08,0.28696,2.6,253,-2.6,0.28656,-1.276e-19,0,1,3.6,-10,0,0
0,0,0,0.7662,0.67458,-9.4916e-06,0.29764,2.4306e-06,0.29802,-2.7196e-08,0.29802,2.7,253,-2.7,0.29764,2.1946e-19,0,1,3.7,-10,0,0
0,0,0,0.68334,0.58548,-1.7096e-05,0.30876,4.5671e-06,0.30909,-2.6998e-08,0.30909,2.8,253,-2.8,0.30876,-2.5432e-19,0,1,3.8,-10,0,0
0,0,0,0.60591,0.5015,-2.1925e-05,0.31992,6.077e-06,0.3202,-2.8212e-08,0.3202,2.9,253,-2.9,0.31992,6.9149e-19,0,1,3.9,-10,0,0
0,0,0,0.50277,0.39163,-1.825e-05,0.33113,5.2315e-06,0.33134,-2.7871e-08,0.33134,3,253,-3,0.33113,-4.5474e-19,0,1,4,-10,0,0
0,0,0,0.41917,0.30097,-1.2813e-05,0.34235,3.7881e-06,0.3425,-2.8365e-08,0.3425,3.1,253,-3.1,0.34235,-1.7452e-19,0,1,4.1,-10,0,0
0,0,0,0.31868,0.19319,-1.0958e-05,0.35358,3.3404e-06,0.35365,-2.962e-08,0.35365,3.2,253,-3.2,0.35358,-2.3355e-19,0,1,4.2,-10,0,0
0,0,0,0.21837,0.0853,-1.1325e-05,0.3648,3.5637e-06,0.36481,-2.9832e-08,0.36481,3.3,253,-3.3,0.3648,-2.4222e-20,0,1,4.3,-10,0,0
0,0,0,0.1884,0.04724,-9.2401e-06,0.37602,2.9892e-06,0.37599,-3.1729e-08,0.37599,3.4,253,-3.4,0.37602,1.27e-20,0,1,4.4,-10,0,0
0,0,0,0.15764,0.0080841,-4.8933e-06,0.38721,1.6123e-06,0.38716,-3.2567e-08,0.38716,3.5,253,-3.5,0.38721,-2.3393e-19,0,1,4.5,-10,0,0
0,0,0,0.10376,-0.054489,2.5324e-06,0.39837,-9.1968e-07,0.3983,-3.5705e-08,0.3983,3.6,253,-3.6,0.39837,5.0515e-19,0,1,4.6,-10,0,0
0,0,0,0.082969,-0.084328,1.4253e-05,0.40948,-5.1255e-06,0.40942,-3.7239e-08,0.40942,3.7,253,-3.7,0.40948,-9.1882e-20,0,1,4.7,-10,0,0
0,0,0,0.12562,-0.051181,2.6291e-05,0.42056,-9.6756e-06,0.42055,-4.064e-08,0.42055,3.8,253,-3.8,0.42056,4.7559e-19,0,1,4.8,-10,0,0
0,0,0,0.22853,0.041843,3.893e-05,0.43159,-1.4681e-05,0.43166,-4.2774e-08,0.43166,3.9,253,-3.9,0.43159,1.0051e-19,0,1,4.9,-10,0,0
0,0,0,0.3543,0.15744,3.6193e-05,0.44259,-1.4002e-05,0.44277,-4.5964e-08,0.44277,4,253,-4,0.44259,8.6515e-20,0,1,5,-10,0,0
0,0,0,0.42062,0.2135,2.1402e-05,0.45357,-8.5111e-06,0.45383,-5.0537e-08,0.45383,4.1,253,-4.1,0.45357,-3.8218e-19,0,1,5.1,-10,0,0
0,0,0,0.49799,0.28037,1.2879e-06,0.46456,-5.8061e-07,0.46491,-5.1847e-08,0.46491,4.2,253,-4.2,0.46456,1.1599e-19,0,1,5.2,-10,0,0
0,0,0,0.57508,0.34673,-1.8811e-05,0.47558,7.7268e-06,0.47601,-5.4952e-08,0.47601,4.3,253,-4.3,0.47558,-8.3974e-20,0,1,5.3,-10,0,0
0,0,0,0.62836,0.38914,-3.1631e-05,0.48663,1.3339e-05,0.48712,-5.5855e-08,0.48712,4.4,253,-4.4,0.48663,-7.7807e-19,0,1,5.4,-10,0,0
0,0,0,0.65534,0.40516,-3.7601e-05,0.49773,1.6231e-05,0.49823,-5.5721e-08,0.49823,4.5,253,-4.5,0.49773,2.5338e-19,0,1,5.5,-10,0,0
0,0,0,0.6727,0.4114,-3.5486e-05,0.50889,1.5661e-05,0.50938,-5.4088e-08,0.50938,4.6,253,-4.6,0.50889,-4.9313e-19,0,1,5.6,-10,0,0
0,0,0,0.69713,0.42447,-3.2348e-05,0.52011,1.4589e-05,0.52058,-5.0901e-08,0.52058,4.7,253,-4.7,0.52011,-9.4821e-20,0,1,5.7,-10,0,0
0,0,0,0.67119,0.387,-3.0889e-05,0.53142,1.4233e-05,0.53181,-4.8925e-08,0.53181,4.8,253,-4.8,0.53142,7.8809e-19,0,1,5.8,-10,0,0
0,0,0,0.58934,0.29348,-2.862e-05,0.5428,1.3469e-05,0.54308,-4.6279e-08,0.54308,4.9,253,-4.9,0.5428,-2.2879e-19,0,1,5.9,-10,0,0
0,0,0,0.46361,0.15591,-2.7688e-05,0.55424,1.3304e-05,0.55437,-4.4707e-08,0.55437,5,253,-5,0.55424,1.4473e-19,0,1,6,-10,0,0
0,0,0,0.33265,0.01282,-1.3414e-05,0.56573,6.5505e-06,0.56569,-4.2804e-08,0.56569,5.1,253,-5.1,0.56573,7.3395e-19,0,1,6.1,-10,0,0
0,0,0,0.24587,-0.08651,6.0493e-06,0.57725,-3.1001e-06,0.57708,-4.1967e-08,0.57708,5.2,253,-5.2,0.57725,7.4202e-19,0,1,6.2,-10,0,0
