"D_:0","D_:1","D_:2","F_D_:0","F_D_:1","F_D_:2","PedigreeNodeId","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0,0,0,2.3804e-05,5.9177e-07,0,10,1,1,-10,0.8,0
0,0,0,9.5315e-05,2.339e-06,0,10,1,2,-10,0.8,0
0,0,0,0.00021482,5.311e-06,0,10,1,3,-10,0.8,0
0,0,0,0.00038282,9.6026e-06,0,10,1,4,-10,0.8,0
0,0,0,0.00060008,1.5358e-05,0,10,1,5,-10,0.8,0
0,0,0,0.00086772,2.2789e-05,0,10,1,6,-10,0.8,0
0,0,0,0.0011873,3.2199e-05,0,10,1,7,-10,0.8,0
0,0,0,0.0015609,4.402e-05,0,10,1,8,-10,0.8,0
0,0,0,0.0019917,5.8884e-05,0,10,1,9,-10,0.8,0
0,0,0,0.002484,7.7735e-05,0,10,1,10,-10,0.8,0
0,0,0,0.0030444,0.00010202,0,10,1,11,-10,0.8,0
0,0,0,0.0036824,0.00013404,0,10,1,12,-10,0.8,0
0,0,0,0.0044128,0.00017763,0,10,1,13,-10,0.8,0
0,0,0,0.0052576,0.00023924,0,10,1,14,-10,0.8,0
0,0,0,0.0062461,0.00032958,0,10,1,15,-10,0.8,0
0,0,0,0.0074025,0.00046382,0,10,1,16,-10,0.8,0
0,0,0,0.0087085,0.00065444,0,10,1,17,-10,0.8,0
0,0,0,0.010081,0.00089802,0,10,1,18,-10,0.8,0
0,0,0,0.011433,0.0011775,0,10,1,19,-10,0.8,0
0,0,0,0.012722,0.0014777,0,10,1,20,-10,0.8,0
0,0,0,0.013944,0.0017902,0,10,1,21,-10,0.8,0
0,0,0,0.015107,0.0021114,0,10,1,22,-10,0.8,0
0,0,0,0.016222,0.0024402,0,10,1,23,-10,0.8,0
0,0,0,0.017298,0.0027761,0,10,1,24,-10,0.8,0
